ID #,Genus,Division,Percent,N15,Depth Collected (m),Site,Location,Region
NWHI-77,Codium,Chlorophyta,0.505482252,3,58,A,Pearl & Hermes,NWHI
NWHI-78,Peyssonnelia,Rhodophyta,0.641056632,2.8,58,A,Pearl & Hermes,NWHI
NWHI-79,Dasya,Rhodophyta,3.573984613,3.9,58,A,Pearl & Hermes,NWHI
NWHI-80,Microdictyon,Chlorophyta,1.120559199,2.7,58,A,Pearl & Hermes,NWHI
NWHI-81,Micropeuce,Rhodophyta,1.884042127,3.2,58,A,Pearl & Hermes,NWHI
NWHI-82,Padina,Phaeophyceae,0.56126212,2.7,58,A,Pearl & Hermes,NWHI
NWHI-83,Padina,Phaeophyceae,0.56335034,3.8,58,A,Pearl & Hermes,NWHI
NWHI-84,Halimeda,Chlorophyta,0.22824418,1.9,58,A,Pearl & Hermes,NWHI
NWHI-85,Halimeda,Chlorophyta,1.92642788,2.8,56,B,Pearl & Hermes,NWHI
NWHI-86,Codium,Chlorophyta,1.180313589,4.5,56,B,Pearl & Hermes,NWHI
NWHI-87,Codium,Chlorophyta,0.604842427,4.4,56,B,Pearl & Hermes,NWHI
NWHI-88,Dictyosphaeria,Chlorophyta,0.903627296,0.3,56,B,Pearl & Hermes,NWHI
NWHI-97,Plocamium,Rhodophyta,3.888380604,0.9,64,C,Pearl & Hermes,NWHI
NWHI-284,Padina,Phaeophyceae,0.692066598,4.4,59,D,Pearl & Hermes,NWHI
NWHI-275,Dasya,Rhodophyta,1.137939278,6.3,55,E,Pearl & Hermes,NWHI
NWHI-276,Sporochnus,Phaeophyceae,1.505132054,3.5,55,E,Pearl & Hermes,NWHI
NWHI-277,Dichotomaria,Rhodophyta,0.596037268,4.6,55,E,Pearl & Hermes,NWHI
NWHI-278,Codium,Chlorophyta,1.223879755,4.7,55,E,Pearl & Hermes,NWHI
NWHI-279,Padina,Phaeophyceae,0.58434681,3.4,55,E,Pearl & Hermes,NWHI
NWHI-280,Tricleocarpa,Rhodophyta,0.507120528,4.7,55,E,Pearl & Hermes,NWHI
NWHI-282,Peyssonnelia,Rhodophyta,0.774661324,3.5,55,E,Pearl & Hermes,NWHI
NWHI-286,Unknown Red Blade,Rhodophyta,2.301688436,3.4,85,F,Pearl & Hermes,NWHI
NWHI-322,Codium,Chlorophyta,1.078182331,1.8,69,G,Pearl & Hermes,NWHI
NWHI-372,Ulva/Umbraulva,Chlorophyta,1.968204389,5.3,63,H,Pearl & Hermes,NWHI
NWHI-373,Microdictyon ,Chlorophyta,1.142591252,2.6,63,H,Pearl & Hermes,NWHI
NWHI-375,Halimeda,Chlorophyta,1.43197132,5.3,70,H,Pearl & Hermes,NWHI
NWHI-376,Caulerpa ,Chlorophyta,2.209590171,4.8,70,H,Pearl & Hermes,NWHI
NWHI-377,Codium,Chlorophyta,0.648664095,4.2,70,H,Pearl & Hermes,NWHI
NWHI-378,Dasya,Rhodophyta,1.905331937,5.4,70,H,Pearl & Hermes,NWHI
NWHI-379,Microdictyon ,Chlorophyta,0.958158794,3.3,70,H,Pearl & Hermes,NWHI
NWHI-380,Ulva/Umbraulva,Chlorophyta,0.609024361,5.3,70,H,Pearl & Hermes,NWHI
NWHI-821a,Ulvaceae,Chlorophyta,0.018933732,4.9,91,I,Pearl & Hermes,NWHI
NWHI-821b,Ulvaceae,Chlorophyta,0.024409658,3.7,91,I,Pearl & Hermes,NWHI
NWHI-813a,Laurencia,Rhodophyta,1.855703088,4.2,2,PHR-tc26,Pearl & Hermes,NWHI
NWHI-813b,Laurencia,Rhodophyta,1.92858279,4.1,2,PHR-tc26,Pearl & Hermes,NWHI
NWHI-813c,Laurencia,Rhodophyta,1.977013298,4.2,2,PHR-tc26,Pearl & Hermes,NWHI
NWHI-878a,Halimeda,Chlorophyta,0.855269726,3.7,12,PHR_80,Pearl & Hermes,NWHI
NWHI-878b,Halimeda,Chlorophyta,0.960214983,2.5,12,PHR_80,Pearl & Hermes,NWHI
NWHI-878c,Halimeda,Chlorophyta,0.755576086,4.8,12,PHR_80,Pearl & Hermes,NWHI
NWHI-957a,Codium,Chlorophyta,0.844614595,4.3,52,J,Pearl & Hermes,NWHI
NWHI-957b,Codium,Chlorophyta,0.907721579,4.3,52,J,Pearl & Hermes,NWHI
NWHI-957c,Codium,Chlorophyta,1.04081394,4.5,52,J,Pearl & Hermes,NWHI
NWHI-944c,Hypnea? Laurencia?,Rhodophyta,0.017684887,3.1,8,PHR_p44,Pearl & Hermes,NWHI
NWHI-969e,Sargassum,Phaeophyceae,0.983441588,3.4,85,K,Pearl & Hermes,NWHI
NWHI-995a,Galaxaura,Rhodophyta,0.472582409,3.6,58,K,Pearl & Hermes,NWHI
NWHI-995b,Galaxaura,Rhodophyta,0.38037724,4.8,58,K,Pearl & Hermes,NWHI
NWHI-995c,Galaxaura,Rhodophyta,0.410162472,4.3,58,K,Pearl & Hermes,NWHI
NWHI-979a,"""Brown spaghetti"" Nemacytus",Phaeophyceae,0.835299122,4.3,3,Shallow east lagoon,Pearl & Hermes,NWHI
NWHI-979b,"""Brown spaghetti"" Nemacytus",Phaeophyceae,0.763625087,3.2,3,Shallow east lagoon,Pearl & Hermes,NWHI
NWHI-979c,"""Brown spaghetti"" Nemacytus",Phaeophyceae,0.74842593,2.1,3,Shallow east lagoon,Pearl & Hermes,NWHI
NWHI-974a,Microdictyon,Chlorophyta,0.89332004,1.2,15,near boat mouth,Pearl & Hermes,NWHI
NWHI-974b,Microdictyon,Chlorophyta,0.941679196,1.2,15,near boat mouth,Pearl & Hermes,NWHI
NWHI-974c,Microdictyon,Chlorophyta,0.864902943,1.4,15,near boat mouth,Pearl & Hermes,NWHI
NWHI-1031b,Scinaia ,Rhodophyta,1.262847582,4.2,75,L,Pearl & Hermes,NWHI
NWHI-1034b,Sargassum,Phaeophyceae,1.056240886,4.5,75,L,Pearl & Hermes,NWHI
NWHI-1043a,Caulerpa,Chlorophyta,1.911144205,3.9,75,L,Pearl & Hermes,NWHI
NWHI-1043b,Caulerpa,Chlorophyta,2.125016346,5.2,75,L,Pearl & Hermes,NWHI
NWHI-1043c,Caulerpa,Chlorophyta,2.435260969,5.2,75,L,Pearl & Hermes,NWHI
NWHI-1049a,Ulva,Chlorophyta,0.730663653,5.3,75,L,Pearl & Hermes,NWHI
NWHI-1049c,Ulva,Chlorophyta,0.563817308,5.2,75,L,Pearl & Hermes,NWHI
NWHI-1066a,Ulvaceae,Chlorophyta,1.356899855,4.5,94,M,Pearl & Hermes,NWHI
NWHI-1066b,Ulvaceae,Chlorophyta,1.76070115,4.4,94,M,Pearl & Hermes,NWHI
NWHI-1066c,Ulvaceae,Chlorophyta,1.900654847,4.3,94,M,Pearl & Hermes,NWHI
NWHI-1069a,Microdictyon,Chlorophyta,1.11039588,1,20,PHR_73,Pearl & Hermes,NWHI
NWHI-1069b,Microdictyon,Chlorophyta,1.024453429,0.8,20,PHR_73,Pearl & Hermes,NWHI
NWHI-1069c,Microdictyon,Chlorophyta,1.185422507,1.5,20,PHR_73,Pearl & Hermes,NWHI
NWHI-1070a,Halimeda,Chlorophyta,0.623175572,2.2,20,PHR_73,Pearl & Hermes,NWHI
NWHI-1070b,Halimeda,Chlorophyta,0.722755129,1.8,20,PHR_73,Pearl & Hermes,NWHI
NWHI-1070c,Halimeda,Chlorophyta,0.79362444,2,20,PHR_73,Pearl & Hermes,NWHI
NWHI-1071a,Halimeda,Chlorophyta,0.580023594,1.5,23,PHR_65,Pearl & Hermes,NWHI
NWHI-1071b,Halimeda,Chlorophyta,1.137220201,2.1,23,PHR_65,Pearl & Hermes,NWHI
NWHI-1071c,Halimeda,Chlorophyta,0.754083246,1.7,23,PHR_65,Pearl & Hermes,NWHI
NWHI-1072a,Halimeda,Chlorophyta,1.548018805,2.7,24,PHR_66,Pearl & Hermes,NWHI
NWHI-1072b,Halimeda,Chlorophyta,1.610421917,3,24,PHR_66,Pearl & Hermes,NWHI
NWHI-1072c,Halimeda,Chlorophyta,1.695362491,2.7,24,PHR_66,Pearl & Hermes,NWHI
NWHI-1073a,Microdictyon,Chlorophyta,1.945373901,2.5,25,PHR_67,Pearl & Hermes,NWHI
NWHI-1073b,Microdictyon,Chlorophyta,2.009040683,2.2,25,PHR_67,Pearl & Hermes,NWHI
NWHI-1073c,Microdictyon,Chlorophyta,1.988351075,2.2,25,PHR_67,Pearl & Hermes,NWHI
NWHI-1074a,Laurencia,Rhodophyta,1.439160949,1.4,26,PHR_68,Pearl & Hermes,NWHI
NWHI-1074b,Laurencia,Rhodophyta,1.141606068,0.9,26,PHR_68,Pearl & Hermes,NWHI
NWHI-1074c,Laurencia,Rhodophyta,1.176983435,2.1,26,PHR_68,Pearl & Hermes,NWHI
